state,year,dissolved_oxygen,bod,fecal_coliform,source_file
Uttar Pradesh,2018,7.7,,2700.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,6.9,,3250.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,6.7,,3400.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,5.75,,30000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,6.4,,7000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,10.0,,4700.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,9.9,,4900.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,9.1,,11000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,8.8,,17000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,9.0,,11000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,9.2,,6800.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,8.8,,800.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,7.7,,2200.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,8.4,,8000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,7.8,,1300.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,6.4,,32000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,7.55,,17000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2018,6.9,,23000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.2,,3100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.9,,3100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.0,,4000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.8,,4000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.1,,2100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.1,,3300.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.9,,7900.0,RS_Session_255_AU_90.1 (1).csv
