time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-07 00:30:00,27.1,26.4,96,0,,165,4,,1000.5,,3
2026-08-07 01:30:00,27,26.5,97,0.2,,88,2.9,,999.9,,7
2026-08-07 02:30:00,26.7,26.4,98,0,,83,2.9,,999.7,,3
2026-08-07 03:30:00,26.6,26.3,98,0,,97,2.9,,999.3,,3
2026-08-07 04:30:00,26.5,26.2,98,0.1,,125,2.2,,999.2,,17
2026-08-07 05:30:00,26.4,26.1,98,0,,124,2.9,,999.2,,3
2026-08-07 06:30:00,26.9,26,95,0,,137,4,,999.7,,2
2026-08-07 07:30:00,28,26.2,90,0,,148,4,,1000.5,,1
2026-08-07 08:30:00,29.2,26.2,84,0,,193,3.6,,1001.1,,1
2026-08-07 09:30:00,30.4,26.1,78,0.2,,165,2.9,,1001.2,,17
2026-08-07 10:30:00,31.3,26.1,74,0.1,,93,2.9,,1001.2,,17
2026-08-07 11:30:00,31.8,25.9,71,0.1,,82,4.3,,1000.5,,17
2026-08-07 12:30:00,32,25.8,70,0.1,,82,5.8,,999.5,,7
2026-08-07 13:30:00,32,26.1,71,0.1,,71,6.8,,998.4,,17
2026-08-07 14:30:00,32.2,25.5,68,0.4,,78,7.2,,997.4,,17
2026-08-07 15:30:00,32.2,25.5,68,0.3,,99,7.9,,996.7,,17
2026-08-07 16:30:00,31.8,25.1,68,0.2,,99,7.6,,996.6,,17
2026-08-07 17:30:00,30.1,27.1,84,0.1,,119,10.1,,996.8,,17
2026-08-07 18:30:00,29.4,27.2,88,0,,143,6.8,,997.4,,3
2026-08-07 19:30:00,28.8,27,90,0,,116,8.3,,999.1,,3
2026-08-07 20:30:00,28.6,26.8,90,0,,106,7.9,,1000,,3
2026-08-07 21:30:00,28.3,26.7,91,0,,129,6.1,,1000.3,,3
2026-08-07 22:30:00,27.7,26.3,92,0.1,,153,5.4,,1000.5,,17
2026-08-07 23:30:00,26.1,25.6,97,2,,118,9.7,,1000.5,,18
2026-08-08 00:30:00,25.9,25.4,97,0.5,,144,7.9,,1000.4,,17
2026-08-08 01:30:00,25.7,25.4,98,0.3,,78,4,,1000,,17
2026-08-08 02:30:00,25.5,25.2,98,0.4,,58,5.8,,999.9,,8
2026-08-08 03:30:00,25.7,25,96,0.5,,80,10.1,,999,,8
2026-08-08 04:30:00,25.6,25.1,97,0.1,,109,5.8,,999.5,,17
2026-08-08 05:30:00,25.5,25,97,0,,86,5.8,,999.3,,3
2026-08-08 06:30:00,25.7,25,96,0,,82,5.8,,999.9,,3
2026-08-08 07:30:00,26.6,24.8,90,0,,79,6.1,,1000.6,,3
2026-08-08 08:30:00,27.4,24.6,85,0,,100,6.1,,1001,,3
2026-08-08 09:30:00,28.7,24.7,79,0.1,,97,6.8,,1001.2,,17
2026-08-08 10:30:00,30.4,25.7,76,0.1,,84,8.6,,1001.4,,17
2026-08-08 11:30:00,31.5,25.1,69,0,,90,10.4,,1000.7,,3
2026-08-08 12:30:00,30.7,25.3,73,0.2,,74,10.8,,999.9,,7
2026-08-08 13:30:00,31.6,25.9,72,0.4,,81,10.4,,999.2,,17
