time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-07 00:30:00,25.2,23.8,92,0,,56,6.1,,1002.4,,3
2026-08-07 01:30:00,25.1,23.5,91,1.3,,65,6.5,,1001.8,,9
2026-08-07 02:30:00,24.8,23.2,91,1.9,,46,4.3,,1001.4,,9
2026-08-07 03:30:00,24.9,23,89,0.3,,81,1.8,,1001.1,,17
2026-08-07 04:30:00,24.7,23.1,91,0.3,,250,2.2,,1001.3,,8
2026-08-07 05:30:00,24.1,23.2,95,0.3,,337,4.7,,1001.2,,8
2026-08-07 06:30:00,23,22,94,0.1,,10,3,,1004,,5
2026-08-07 07:30:00,24,23,94,0,,40,4,,1004,,5
2026-08-07 08:30:00,24,24,100,0,,330,3,,1004,,3
2026-08-07 09:30:00,25,25,100,0,,340,3,,1005,,3
2026-08-07 10:30:00,26,25,94,0,,300,3,,1005,,3
2026-08-07 11:30:00,28,26.9,94,0,,240,3,,1005,,3
2026-08-07 12:30:00,28,26.9,94,0,,230,3,,1004,,5
2026-08-07 13:30:00,28,26.9,94,0,,250,3,,1004,,3
2026-08-07 14:30:00,28,26.9,94,0.2,,360,3,,1003,,5
2026-08-07 15:30:00,28,26.9,94,0.2,,240,3,,1003,,5
2026-08-07 16:30:00,28,26.9,94,0,,360,3,,1003,,5
2026-08-07 17:30:00,28,26.9,94,0,,320,3,,1003,,5
2026-08-07 18:30:00,27,25.9,94,0,,10,3,,1003,,5
2026-08-07 19:30:00,27,25.9,94,0,,150,3,,1003,,5
2026-08-07 20:30:00,26,25,94,0,,80,3,,1004,,5
2026-08-07 21:30:00,26.3,24,87,0,,83,1.8,,1001.6,,3
2026-08-07 22:30:00,26.2,23.9,87,0,,58,2.2,,1002.2,,3
2026-08-07 23:30:00,25.9,23.8,88,0,,351,2.2,,1002.6,,3
2026-08-08 00:30:00,25.4,23.4,89,0,,348,2.9,,1002.7,,2
2026-08-08 01:30:00,24.9,23.1,90,0.2,,14,3.6,,1002.3,,17
2026-08-08 02:30:00,24.5,23.1,92,1,,38,2.9,,1002,,18
2026-08-08 03:30:00,23.9,22.9,94,0.2,,21,5.4,,1002.1,,7
2026-08-08 04:30:00,23.8,22.9,95,0,,42,5,,1002,,3
2026-08-08 05:30:00,23.7,22.5,93,0,,37,4.3,,1002.1,,3
2026-08-08 06:30:00,24,24,100,0,,70,3,,1005,,5
2026-08-08 07:30:00,26,26,100,0,,160,3,,1006,,5
2026-08-08 08:30:00,27,27,100,0,,340,3,,1006,,5
2026-08-08 09:30:00,28,26.9,94,0,,320,3,,1006,,5
2026-08-08 10:30:00,30,28,89,0.3,,260,3,,1006,,5
2026-08-08 11:30:00,31,28,84,1.1,,70,3,,1006,,18
2026-08-08 12:30:00,31,29.9,94,0.4,,240,3,,1006,,17
2026-08-08 13:30:00,32,27.9,79,2.6,,200,6,,1005,,18
2026-08-08 14:30:00,32,30,89,1.5,,210,5,,1004,,5
2026-08-08 15:30:00,27.3,25.7,91,1.1,,348,6.1,,1002.5,,9
2026-08-08 16:30:00,30,28.9,94,0.2,,300,7,,1004,,5
2026-08-08 17:30:00,27,27,100,0.2,,20,4,,1004,,5
2026-08-08 18:30:00,26,25,94,0,,40,3,,1005,,5
2026-08-08 19:30:00,26.2,25.7,97,0,,98,2.2,,1002.6,,3
2026-08-08 20:30:00,25.8,25.3,97,0,,57,2.9,,1003.3,,3
2026-08-08 21:30:00,25.5,24.8,96,0,,62,2.9,,1004.2,,3
2026-08-08 22:30:00,24.7,24,96,0,,40,3.6,,1004.1,,3
2026-08-08 23:30:00,24.3,23.4,95,0,,35,4,,1004.5,,5
2026-08-09 00:30:00,24.2,23.2,94,0,,31,4.3,,1004.4,,5
2026-08-09 01:30:00,23.9,22.9,94,0,,31,3.6,,1004.2,,5
2026-08-09 02:30:00,24.1,22.7,92,0,,35,3.6,,1004,,5
2026-08-09 03:30:00,24.4,22.6,90,0.5,,28,3.2,,1004,,8
2026-08-09 04:30:00,23.7,22.8,95,1.5,,133,6.5,,1004.3,,9
2026-08-09 05:30:00,23.7,22.8,95,0.6,,56,6.1,,1004.5,,17
2026-08-09 06:30:00,24,23,94,0.1,,10,3,,1007,,17
2026-08-09 07:30:00,25,25,100,1,,210,3,,1007,,5
2026-08-09 08:30:00,26,25,94,1,,40,3,,1008,,5
2026-08-09 09:30:00,28,26.9,94,0,,170,3,,1008,,5
2026-08-09 10:30:00,29,27.9,94,0,,200,3,,1008,,5
2026-08-09 11:30:00,30,28.9,94,0.2,,230,3,,1007,,5
2026-08-09 12:30:00,31,29.9,94,0,,230,3,,1007,,5
2026-08-09 13:30:00,31,28,84,0.1,,220,4,,1006,,5
2026-08-09 14:30:00,31,29.9,94,0.2,,220,7,,1005,,5
2026-08-09 15:30:00,28,26.9,94,0,,180,5,,1005,,5
2026-08-09 16:30:00,25,25,100,0,,50,9,,1004,,5
2026-08-09 17:30:00,27,25.9,94,0,,90,6,,1004,,5
2026-08-09 18:30:00,27,25.9,94,0,,80,3,,1004,,5
2026-08-09 19:30:00,27,25.9,94,0.2,,60,3,,1005,,5
2026-08-09 20:30:00,26,25,94,0.6,,30,3,,1005,,5
2026-08-09 21:30:00,25.9,24.9,94,0,,45,3.6,,1003.3,,3
2026-08-09 22:30:00,26.6,24.3,87,0,,46,1.8,,1003.3,,3
2026-08-09 23:30:00,26.3,24.1,88,0,,343,2.5,,1003.7,,3
