time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-07 00:30:00,25.5,24.6,95,0.7,,10,7.2,,1001.2,,17
2026-08-07 01:30:00,25.1,24.6,97,3,,88,6.8,,1000.4,,9
2026-08-07 02:30:00,25.1,24.8,98,0.5,,116,4.7,,1000,,8
2026-08-07 03:30:00,24.8,24.6,99,2.9,,98,6.8,,999.9,,9
2026-08-07 04:30:00,24.9,24.7,99,2.7,,100,6.1,,999.8,,9
2026-08-07 05:30:00,25,24.7,98,1,,91,6.5,,999.8,,9
2026-08-07 06:30:00,25.3,24.6,96,0.6,,92,5.4,,1000.2,,8
2026-08-07 07:30:00,26,24.6,92,0.2,,81,6.5,,1000.6,,7
2026-08-07 08:30:00,26.5,24.7,90,0.2,,97,7.6,,1001.2,,7
2026-08-07 09:30:00,27.1,24.7,87,0.2,,90,7.2,,1001.2,,7
2026-08-07 10:30:00,28.5,25.3,83,0.1,,89,7.6,,1001,,7
2026-08-07 11:30:00,29.3,25.1,78,0.1,,86,9.4,,1000.1,,7
2026-08-07 12:30:00,28.5,25.5,84,1.2,,84,9.4,,999.3,,9
2026-08-07 13:30:00,28.9,26.1,85,1.5,,104,9,,998.2,,9
2026-08-07 14:30:00,29.1,26.1,84,0.2,,61,6.8,,997.4,,7
2026-08-07 15:30:00,27.4,25.4,89,6,,180,11.5,,997.2,,9
2026-08-07 16:30:00,26.8,25.6,93,6.1,,240,5.4,,997.2,,9
2026-08-07 17:30:00,27.2,25.8,92,0.4,,151,11.5,,998.4,,17
2026-08-07 18:30:00,27,25.4,91,0.1,,157,11.2,,999.5,,7
2026-08-07 19:30:00,26.8,25.2,91,0.2,,152,10.4,,1000.6,,7
2026-08-07 20:30:00,26.7,25.3,92,0.4,,148,10.1,,1001.3,,8
2026-08-07 21:30:00,26.6,25.2,92,0,,150,10.8,,1001.7,,3
2026-08-07 22:30:00,26.6,25.2,92,0,,147,11.2,,1001.4,,3
2026-08-07 23:30:00,26.4,25,92,0,,147,9,,1001.2,,3
2026-08-08 00:30:00,26.2,25,93,0.2,,147,9.7,,1000.7,,7
2026-08-08 01:30:00,25.9,25,95,0.3,,146,7.6,,999.9,,17
2026-08-08 02:30:00,25.8,24.8,94,0,,122,7.2,,999.9,,3
2026-08-08 03:30:00,25.7,24.8,95,0.5,,158,8.6,,1000,,8
2026-08-08 04:30:00,25.2,24.7,97,1.5,,147,10.4,,1000.4,,9
2026-08-08 05:30:00,25,24.5,97,2,,147,6.8,,1000.6,,9
2026-08-08 06:30:00,25.1,24.6,97,1.4,,107,8.3,,1001.4,,18
2026-08-08 07:30:00,25.7,24.8,95,0.3,,104,8.3,,1001.6,,8
2026-08-08 08:30:00,27.5,25.3,88,0.2,,130,10.1,,1002.2,,7
2026-08-08 09:30:00,28.7,25.7,84,0,,146,10.1,,1002.6,,3
2026-08-08 10:30:00,29.1,25.7,82,0.3,,140,10.1,,1002.4,,8
2026-08-08 11:30:00,29.5,25.7,80,0.3,,136,11.9,,1001.9,,8
2026-08-08 12:30:00,28.3,25.9,87,2.8,,183,10.8,,1001.6,,18
2026-08-08 13:30:00,28.8,26.4,87,0.9,,178,8.6,,1000.5,,8
2026-08-08 14:30:00,30.2,26.8,82,0.1,,162,11.5,,999.8,,7
2026-08-08 15:30:00,31.2,24.8,69,1.8,,166,16.2,,998.6,,9
2026-08-08 16:30:00,30.6,25.2,73,0,,164,15.8,,998.7,,3
2026-08-08 17:30:00,29.6,25.1,77,0,,161,14,,999.3,,3
2026-08-08 18:30:00,28.8,24.8,79,0,,158,13.3,,1000.6,,3
2026-08-08 19:30:00,28.3,24.7,81,0,,158,11.2,,1002.1,,3
2026-08-08 20:30:00,28,24.8,83,0,,152,10.8,,1003.1,,3
2026-08-08 21:30:00,27.7,24.9,85,0,,145,10.1,,1003.7,,3
2026-08-08 22:30:00,27.4,25,87,0,,145,9,,1003.7,,3
2026-08-08 23:30:00,27,25,89,0,,137,7.9,,1002.9,,3
2026-08-09 00:30:00,26.7,24.9,90,0,,131,6.5,,1002.4,,3
2026-08-09 01:30:00,26.5,24.9,91,0,,124,6.8,,1002,,3
2026-08-09 02:30:00,26.3,24.9,92,0,,104,6.5,,1001.7,,3
2026-08-09 03:30:00,26.2,25,93,0,,98,7.6,,1001.5,,3
2026-08-09 04:30:00,26.2,25.2,94,0,,87,6.5,,1001.5,,3
2026-08-09 05:30:00,26.2,25.2,94,0,,90,7.6,,1001.8,,3
2026-08-09 06:30:00,27.1,25.7,92,0,,99,10.1,,1002.5,,3
2026-08-09 07:30:00,27.7,25.3,87,0.2,,110,12.6,,1002.8,,17
2026-08-09 08:30:00,28.7,25.1,81,0,,124,13,,1003.1,,3
2026-08-09 09:30:00,30.1,25.4,76,0.1,,121,11.2,,1002.9,,7
2026-08-09 10:30:00,30.7,25.3,73,0.2,,115,10.4,,1002.4,,7
2026-08-09 11:30:00,31.5,25.8,72,0.2,,118,10.1,,1002,,7
2026-08-09 12:30:00,31.8,26.1,72,0,,133,8.6,,1001,,3
2026-08-09 13:30:00,28.8,26,85,0.2,,157,11.9,,1001,,7
2026-08-09 14:30:00,28.8,26.4,87,1.7,,99,6.1,,1000.1,,9
2026-08-09 15:30:00,29.2,26.6,86,0.3,,130,8.6,,999.5,,8
2026-08-09 16:30:00,29.8,26.4,82,0.2,,160,10.8,,999.2,,17
2026-08-09 17:30:00,28.9,26.1,85,0.5,,153,9,,999.9,,17
2026-08-09 18:30:00,28.5,26.1,87,0.2,,142,9.4,,1000.9,,7
2026-08-09 19:30:00,28.2,26,88,0,,161,8.3,,1001.9,,3
2026-08-09 20:30:00,27.8,25.8,89,0,,161,7.9,,1002.8,,3
2026-08-09 21:30:00,27.5,25.7,90,0,,158,7.6,,1003.1,,3
2026-08-09 22:30:00,27.2,25.4,90,0,,154,6.5,,1003.1,,3
2026-08-09 23:30:00,27,25.6,92,0,,154,4.7,,1002.4,,3
2026-08-10 00:30:00,26.8,25.6,93,0,,128,4.7,,1001.6,,2
2026-08-10 01:30:00,26.6,25.4,93,0,,124,6.5,,1001.1,,3
2026-08-10 02:30:00,26.5,25.5,94,0,,117,5.8,,1000.8,,3
2026-08-10 03:30:00,26.3,25.3,94,0,,113,6.8,,1000.8,,3
2026-08-10 04:30:00,26.3,25.4,95,0,,107,6.5,,1001.1,,3
2026-08-10 05:30:00,26.2,25.5,96,0,,118,6.1,,1001.4,,3
2026-08-10 06:30:00,26.5,25.3,93,0.2,,138,9,,1002.3,,17
2026-08-10 07:30:00,27.3,25.3,89,0.4,,172,9,,1003,,8
2026-08-10 08:30:00,27.9,24.9,84,0,,113,7.9,,1002.2,,3
2026-08-10 09:30:00,29.9,25.6,78,0.2,,108,7.9,,1002,,17
2026-08-10 10:30:00,31,25.3,72,0.2,,113,7.9,,1001.7,,7
2026-08-10 11:30:00,31.5,25.1,69,0.4,,111,10.8,,1001.8,,17
2026-08-10 12:30:00,31.7,25.5,70,0.2,,122,9,,1000.9,,7
2026-08-10 13:30:00,31.8,25.6,70,0.1,,129,6.8,,999.9,,17
2026-08-10 14:30:00,30.8,25.8,75,1.7,,144,11.2,,998.9,,9
2026-08-10 15:30:00,27,25.8,93,3.3,,173,13.7,,998.8,,9
2026-08-10 16:30:00,27.3,25.9,92,0.7,,221,9.4,,998.8,,8
2026-08-10 17:30:00,27.3,25.7,91,0.2,,218,2.9,,999,,7
2026-08-10 18:30:00,27.4,26,92,0,,77,1.8,,1000.5,,3
2026-08-10 19:30:00,27.4,26,92,0,,241,1.4,,1001.3,,3
2026-08-10 20:30:00,27.3,25.9,92,0,,260,0.7,,1001.9,,3
2026-08-10 21:30:00,27.3,26.1,93,0,,23,2.9,,1001.9,,3
2026-08-10 22:30:00,27.2,26.1,94,0,,87,2.2,,1002.1,,3
2026-08-10 23:30:00,27.1,26.2,95,0,,138,2.5,,1001.8,,3
2026-08-11 00:30:00,26.8,26.1,96,0,,96,3.2,,1001.4,,2
2026-08-11 01:30:00,26.7,26,96,0,,53,4.3,,1000.4,,3
2026-08-11 02:30:00,26.5,25.8,96,0,,34,5.4,,1000.1,,3
2026-08-11 03:30:00,26.4,25.7,96,0,,36,4.3,,1000,,1
2026-08-11 04:30:00,26.3,25.6,96,0,,94,3.2,,1000.7,,2
2026-08-11 05:30:00,26.3,25.6,96,0,,66,5,,1000.9,,3
2026-08-11 06:30:00,27,25.6,92,0,,90,5.4,,1001.7,,2
2026-08-11 07:30:00,28.2,25.6,86,0,,67,5.8,,1002.1,,1
2026-08-11 08:30:00,29.2,26,83,0,,52,6.8,,1002.6,,2
2026-08-11 09:30:00,30.1,26.5,81,0,,85,6.8,,1002.1,,2
2026-08-11 10:30:00,30.7,26.2,77,0.1,,72,7.9,,1001.6,,17
2026-08-11 11:30:00,31.1,26.1,75,0.2,,65,7.9,,1001.1,,7
2026-08-11 12:30:00,31.4,26.4,75,0.3,,54,5.8,,1000.1,,8
2026-08-11 13:30:00,31.5,26.5,75,0.4,,38,5.4,,998.8,,8
2026-08-11 14:30:00,29.6,26.4,83,2.2,,111,8.6,,997.5,,9
2026-08-11 15:30:00,27.2,26.1,94,12.8,,9,14,,997.6,,9
2026-08-11 16:30:00,27.7,26.6,94,3.6,,226,7.2,,997.7,,9
2026-08-11 17:30:00,27.2,26.1,94,1.7,,220,11.2,,998.2,,9
2026-08-11 18:30:00,26.8,25.9,95,0.3,,245,8.6,,999.4,,8
2026-08-11 19:30:00,26.7,25.8,95,0.4,,229,6.5,,1000.5,,17
2026-08-11 20:30:00,26.6,25.7,95,0.4,,251,6.1,,1001.6,,17
2026-08-11 21:30:00,26.6,25.9,96,0,,299,2.9,,1001.7,,3
2026-08-11 22:30:00,26.7,25.8,95,0,,63,2.5,,1001.8,,3
2026-08-11 23:30:00,26.6,25.9,96,0,,53,3.2,,1001.6,,3
2026-08-12 00:30:00,26.5,25.8,96,0,,147,1.4,,1001.2,,3
2026-08-12 01:30:00,26.6,25.9,96,0,,189,1.1,,1001,,3
2026-08-12 02:30:00,26.5,25.8,96,0,,250,1.8,,1000.6,,3
2026-08-12 03:30:00,26.3,26,98,0,,232,2.2,,1000.6,,3
2026-08-12 04:30:00,26.3,26,98,0,,231,4.7,,1000.9,,3
2026-08-12 05:30:00,26.2,25.9,98,0,,224,3.2,,1001.6,,3
2026-08-12 06:30:00,26.8,25.7,94,0,,253,2.9,,1002.2,,3
2026-08-12 07:30:00,28.4,26.2,88,0,,59,4,,1001.9,,3
2026-08-12 08:30:00,28.6,26,86,1.2,,85,4.3,,1002.6,,9
2026-08-12 09:30:00,29.2,26.2,84,0.6,,70,4.7,,1002.5,,8
2026-08-12 10:30:00,30.6,26.7,80,0.1,,97,4.3,,1002.3,,7
2026-08-12 11:30:00,31.6,26.8,76,0.2,,319,2.9,,1001.8,,17
2026-08-12 12:30:00,32.3,26.8,73,0.2,,306,4.7,,1000.4,,17
